Date,Content,Comment
2024-04-29,,"Kardeş filmi izlemedim la yorum relatable mı yoksa undatable mı hahah. Neyse bak  ablalarına ek olarak ben de beğendim güzel yazmışsın. Ama 3 sigara çok bari bi tane iç. İyi bak kendini de billiyon demek, bulursun öyle bi undatable. Tabii nadirleşiyor günümüzde ama varlar aslında sadece görmüyoruz bazan."
2024-04-29,,"Thats so fckin right, the little girl knows the true way of solution of boredom in life, because she doesn't even think of it. BTW I really love this movie although I fort most of the parts. In general I love Alejandro Inarritu movies all of them are perfect. Is this you write an essay about loneliness or free writing of your thoughts or a dream? Okay okay le me tell you when I feel lonely is most of the times Friday nights if I stay at home hearing peoples voices outside. So I think loneliness is relative to moment, mood..."
