Date,Name,Year,Letterboxd URI,Rating
8/16/20,Me and Earl and the Dying Girl,2015,https://boxd.it/9SAE,4.5
8/16/20,Rise of the Planet of the Apes,2011,https://boxd.it/cS4,3.5
8/16/20,Steve Jobs,2015,https://boxd.it/araG,3.5
8/16/20,Wind River,2017,https://boxd.it/dR3i,3.5
8/16/20,The Help,2011,https://boxd.it/EDm,4.5
8/16/20,Passengers,2016,https://boxd.it/8lFu,4
8/16/20,127 Hours,2010,https://boxd.it/SLa,4.5
8/16/20,The Intouchables,2011,https://boxd.it/2FT0,4
8/16/20,The Fault in Our Stars,2014,https://boxd.it/6BQa,4
8/16/20,Mission: Impossible – Ghost Protocol,2011,https://boxd.it/psI,3.5
8/16/20,The Wolverine,2013,https://boxd.it/2CWU,4
8/16/20,The Secret Life of Walter Mitty,2013,https://boxd.it/3SWy,4.5
8/16/20,The Maze Runner,2014,https://boxd.it/5YPM,3.5
8/16/20,Lincoln,2012,https://boxd.it/2n2s,4
8/16/20,Pirates of the Caribbean: Dead Men Tell No Tales,2017,https://boxd.it/5a9m,4
8/16/20,50/50,2011,https://boxd.it/10Tw,4
8/16/20,Sherlock Holmes: A Game of Shadows,2011,https://boxd.it/k3S,4
8/16/20,The Spectacular Now,2013,https://boxd.it/4VSG,3.5
8/16/20,Pirates of the Caribbean: On Stranger Tides,2011,https://boxd.it/27Z4,3.5
8/16/20,The Danish Girl,2015,https://boxd.it/9Ohy,3.5
8/16/20,Now You See Me 2,2016,https://boxd.it/99fw,3.5
8/16/20,Despicable Me 2,2013,https://boxd.it/3gg0,4
8/16/20,Limitless,2011,https://boxd.it/Aly,4.5
8/16/20,Me Before You,2016,https://boxd.it/9n98,4
8/16/20,Oblivion,2013,https://boxd.it/2Bzq,3.5
8/16/20,The Hangover Part II,2011,https://boxd.it/PZI,3
8/16/20,Christopher Robin,2018,https://boxd.it/eSj4,3
8/16/20,Cars 2,2011,https://boxd.it/H4Y,3
8/16/20,Kung Fu Panda 2,2011,https://boxd.it/G36,3.5
8/16/20,Battle of the Sexes,2017,https://boxd.it/cNxw,3.5
8/16/20,The Intern,2015,https://boxd.it/7AOE,3.5
8/16/20,Shrek Forever After,2010,https://boxd.it/1WRo,4
8/16/20,Chappie,2015,https://boxd.it/5Y3e,3
8/16/20,Predestination,2014,https://boxd.it/6bJM,3
8/16/20,Transformers: Dark of the Moon,2011,https://boxd.it/16aC,3.5
8/16/20,Percy Jackson & the Olympians: The Lightning Thief,2010,https://boxd.it/1gJi,3.5
8/16/20,Cars 3,2017,https://boxd.it/7IPq,3
8/17/20,Fantastic Four,2015,https://boxd.it/5a9c,3
8/17/20,Gifted,2017,https://boxd.it/e5dG,3.5
8/17/20,The Equalizer,2014,https://boxd.it/4TUK,3
8/17/20,Paper Towns,2015,https://boxd.it/8T5g,3
8/17/20,Snowden,2016,https://boxd.it/9CWO,3.5
8/17/20,The Grey,2011,https://boxd.it/2xZE,4.5
8/17/20,Everest,2015,https://boxd.it/7r7Q,3.5
8/17/20,Annabelle,2014,https://boxd.it/7l84,2.5
8/17/20,War Horse,2011,https://boxd.it/nf8,4
8/17/20,Independence Day: Resurgence,2016,https://boxd.it/JwK,4
8/17/20,One Day,2011,https://boxd.it/Asu,4
8/17/20,Ice Age: Continental Drift,2012,https://boxd.it/lQ2,3.5
8/17/20,Robin Hood,2010,https://boxd.it/1D6o,4
8/17/20,Extremely Loud & Incredibly Close,2011,https://boxd.it/Ju,4.5
8/17/20,Suffragette,2015,https://boxd.it/7cxY,4
8/17/20,Collateral Beauty,2016,https://boxd.it/bAIu,4
8/17/20,The Light Between Oceans,2016,https://boxd.it/8Lf8,3.5
8/17/20,Remember Me,2010,https://boxd.it/1zyI,4
8/17/20,Dear John,2010,https://boxd.it/1zO2,3.5
8/17/20,No Country for Old Men,2007,https://boxd.it/21ew,4.5
8/17/20,Iron Man,2008,https://boxd.it/28dA,4
8/17/20,WALL·E,2008,https://boxd.it/1VEo,4
8/17/20,Memento,2000,https://boxd.it/2bcK,4
8/17/20,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u,4
8/17/20,Ratatouille,2007,https://boxd.it/27ww,4
8/17/20,Finding Nemo,2003,https://boxd.it/72i,4
8/17/20,Harry Potter and the Prisoner of Azkaban,2004,https://boxd.it/29Qy,4
8/17/20,The Prestige,2006,https://boxd.it/293w,4.5
8/17/20,Avatar,2009,https://boxd.it/1Efm,3.5
8/17/20,"Monsters, Inc.",2001,https://boxd.it/2a46,4
8/17/20,Harry Potter and the Philosopher's Stone,2001,https://boxd.it/29QS,3.5
8/17/20,The Incredibles,2004,https://boxd.it/1XLm,3.5
8/17/20,Little Miss Sunshine,2006,https://boxd.it/29EW,4.5
8/17/20,Harry Potter and the Chamber of Secrets,2002,https://boxd.it/29QI,3.5
8/17/20,Harry Potter and the Goblet of Fire,2005,https://boxd.it/29Qo,3.5
8/17/20,(500) Days of Summer,2009,https://boxd.it/1EmM,4
8/17/20,Spider-Man,2002,https://boxd.it/2a8i,3.5
8/17/20,Harry Potter and the Order of the Phoenix,2007,https://boxd.it/29Qe,3.5
8/17/20,Shrek,2001,https://boxd.it/29zi,3.5
8/17/20,Spider-Man 2,2004,https://boxd.it/2a88,3.5
8/17/20,Harry Potter and the Half-Blood Prince,2009,https://boxd.it/29FU,4.5
8/17/20,V for Vendetta,2005,https://boxd.it/29Ik,4.5
8/17/20,Pirates of the Caribbean: The Curse of the Black Pearl,2003,https://boxd.it/70G,3.5
8/17/20,Juno,2007,https://boxd.it/210a,3.5
8/17/20,Gladiator,2000,https://boxd.it/2b9m,4.5
8/17/20,The Hangover,2009,https://boxd.it/1GjK,3
8/17/20,Shrek 2,2004,https://boxd.it/29z8,3.5
8/17/20,I Am Legend,2007,https://boxd.it/21DG,4
8/17/20,A Beautiful Mind,2001,https://boxd.it/2amk,4
8/17/20,The Incredible Hulk,2008,https://boxd.it/28dU,3
8/17/20,Cars,2006,https://boxd.it/29ho,4.5
8/17/20,Pirates of the Caribbean: Dead Man's Chest,2006,https://boxd.it/2bfk,3.5
8/17/20,Cast Away,2000,https://boxd.it/20i8,3.5
8/17/20,Kung Fu Panda,2008,https://boxd.it/1Yws,4
8/17/20,Pride & Prejudice,2005,https://boxd.it/24u8,4
8/17/20,Gran Torino,2008,https://boxd.it/1Qzy,4
8/17/20,Madagascar,2005,https://boxd.it/29dc,4
8/17/20,Pirates of the Caribbean: At World's End,2007,https://boxd.it/2aGu,3.5
8/17/20,Collateral,2004,https://boxd.it/28F0,4
8/17/20,The Bourne Ultimatum,2007,https://boxd.it/26Eu,3.5
8/17/20,The Pursuit of Happyness,2006,https://boxd.it/28PE,5
8/17/20,"I, Robot",2004,https://boxd.it/27y8,3.5
8/17/20,2012,2009,https://boxd.it/1OE2,2.5
8/17/20,The Blind Side,2009,https://boxd.it/1zWg,4
8/17/20,Mr. Nobody,2009,https://boxd.it/1k44,4.5
8/17/20,The Fountain,2006,https://boxd.it/28RU,4
8/17/20,Up in the Air,2009,https://boxd.it/1zPY,3
8/17/20,Lemony Snicket's A Series of Unfortunate Events,2004,https://boxd.it/1T7s,3.5
8/17/20,Bolt,2008,https://boxd.it/1QXg,3.5
8/17/20,Yes Man,2008,https://boxd.it/1WPW,4
8/17/20,The Last Samurai,2003,https://boxd.it/29ZA,4.5
8/17/20,Ice Age: The Meltdown,2006,https://boxd.it/2wRk,4
8/17/20,Vanilla Sky,2001,https://boxd.it/27TK,4
8/17/20,Hitch,2005,https://boxd.it/205o,4
8/17/20,Black Hawk Down,2001,https://boxd.it/29rI,4
8/17/20,17 Again,2009,https://boxd.it/1Jnq,2.5
8/17/20,Jojo Rabbit,2019,https://boxd.it/iEBG,4.5
8/17/20,The Thin Red Line,1998,https://boxd.it/1ZTM,4.5
8/17/20,To the Wonder,2012,https://boxd.it/gpU,4
8/17/20,The Dark Knight Rises,2012,https://boxd.it/H3m,4.5
8/17/20,Batman Begins,2005,https://boxd.it/2aIg,5
8/17/20,The Dark Knight,2008,https://boxd.it/2b0k,5
8/17/20,Nightcrawler,2014,https://boxd.it/780m,4.5
8/17/20,Seven Pounds,2008,https://boxd.it/1U8w,4.5
8/17/20,Tangerines,2013,https://boxd.it/71vM,4
8/17/20,City of Angels,1998,https://boxd.it/29Bo,4
8/17/20,The Sea Inside,2004,https://boxd.it/27S8,4
8/17/20,Rain Man,1988,https://boxd.it/2avw,3.5
8/17/20,Life Is Beautiful,1997,https://boxd.it/29Wm,4.5
8/17/20,Alvin and the Chipmunks: The Road Chip,2015,https://boxd.it/7DWQ,3
8/17/20,The Breakfast Club,1985,https://boxd.it/27q4,3.5
8/17/20,A Clockwork Orange,1971,https://boxd.it/2aVE,3.5
8/17/20,Hotel Rwanda,2004,https://boxd.it/2aSA,3.5
8/17/20,Alvin and the Chipmunks: The Squeakquel,2009,https://boxd.it/1zgk,3
8/17/20,Toy Story 2,1999,https://boxd.it/29qq,3.5
8/17/20,Charlie and the Chocolate Factory,2005,https://boxd.it/2b68,3
8/17/20,Cloudy with a Chance of Meatballs,2009,https://boxd.it/1A40,3
8/17/20,The Green Mile,1999,https://boxd.it/2agG,4
8/17/20,Like Stars on Earth,2007,https://boxd.it/20SA,4
8/17/20,Finding Dory,2016,https://boxd.it/4aAA,3
8/17/20,A Bug's Life,1998,https://boxd.it/1Yyy,3.5
8/17/20,Rocky,1976,https://boxd.it/28Uk,3.5
8/17/20,Creed,2015,https://boxd.it/a2qk,3
8/17/20,Creed II,2018,https://boxd.it/hgl8,3
8/17/20,Rocky II,1979,https://boxd.it/28Ua,3.5
8/17/20,Rocky Balboa,2006,https://boxd.it/291q,3.5
8/17/20,3:10 to Yuma,2007,https://boxd.it/23g0,4
8/17/20,The Matrix,1999,https://boxd.it/2a1m,4
8/17/20,Fight Club,1999,https://boxd.it/2a9q,4
8/17/20,Se7en,1995,https://boxd.it/29zs,4.5
8/17/20,Forrest Gump,1994,https://boxd.it/728,4.5
8/17/20,The Truman Show,1998,https://boxd.it/18U8,4.5
8/17/20,The Shawshank Redemption,1994,https://boxd.it/2aHi,4.5
8/17/20,The Lion King,1994,https://boxd.it/201Q,4
8/17/20,Saving Private Ryan,1998,https://boxd.it/29ro,4
8/17/20,Léon: The Professional,1994,https://boxd.it/2b8S,4
8/17/20,American History X,1998,https://boxd.it/2bdo,4
8/17/20,Braveheart,1995,https://boxd.it/2aTI,4.5
8/17/20,Ace Ventura: Pet Detective,1994,https://boxd.it/25RW,2.5
8/17/20,Malcolm X,1992,https://boxd.it/27WE,3
8/17/20,Die Hard 2,1990,https://boxd.it/28zw,3
8/17/20,Antz,1998,https://boxd.it/1ZB4,3.5
8/17/20,October Sky,1999,https://boxd.it/1Q7u,4
8/17/20,Rocky V,1990,https://boxd.it/28SS,4
8/17/20,Patch Adams,1998,https://boxd.it/1Wzk,4.5
8/17/20,How to Train Your Dragon,2010,https://boxd.it/1WRy,3
8/17/20,Mulan,1998,https://boxd.it/1VFw,3.5
8/17/20,Happy Feet,2006,https://boxd.it/1XH0,3.5
8/17/20,Bee Movie,2007,https://boxd.it/22Vw,3.5
8/17/20,Chicken Little,2005,https://boxd.it/1Xnu,3.5
8/17/20,Alvin and the Chipmunks,2007,https://boxd.it/21E0,2.5
8/17/20,Garfield,2004,https://boxd.it/1ZAA,2.5
8/17/20,The Tale of Despereaux,2008,https://boxd.it/1WQg,3
8/17/20,Dead Poets Society,1989,https://boxd.it/2aSg,4.5
8/17/20,Click,2006,https://boxd.it/1YVM,3
8/17/20,50 First Dates,2004,https://boxd.it/285c,4
8/17/20,Joy,2015,https://boxd.it/8kEU,3.5
8/17/20,Don Jon,2013,https://boxd.it/4sdk,3.5
8/17/20,"Love, Rosie",2014,https://boxd.it/62hE,4
8/17/20,"Me, Myself & Irene",2000,https://boxd.it/27nY,3
8/17/20,Mr. Popper's Penguins,2011,https://boxd.it/kRS,3.5
8/17/20,Night at the Museum,2006,https://boxd.it/28wi,2.5
8/17/20,Just Go with It,2011,https://boxd.it/Doq,2.5
8/17/20,Are We Ok?,2013,https://boxd.it/7wSW,3
8/17/20,Miracle in Cell No. 7,2019,https://boxd.it/nFrM,3.5
8/17/20,Whisper If I Forget,2014,https://boxd.it/9y5c,4
8/17/20,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,4
8/17/20,Stuart Little,1999,https://boxd.it/1WZW,3.5
8/17/20,Dangal,2016,https://boxd.it/chfU,3.5
8/17/20,Ghajini,2008,https://boxd.it/1OP0,3.5
8/17/20,PK,2014,https://boxd.it/9q1G,3.5
8/17/20,Love Likes Coincidences,2011,https://boxd.it/nVe,3.5
8/17/20,Zathura: A Space Adventure,2005,https://boxd.it/21mq,4
8/17/20,The Illusionist,2006,https://boxd.it/28H6,4
8/17/20,Master and Commander: The Far Side of the World,2003,https://boxd.it/200S,4.5
8/17/20,An Education,2009,https://boxd.it/1xcg,3.5
8/17/20,Man on Fire,2004,https://boxd.it/1Yvk,4
8/17/20,21,2008,https://boxd.it/20BO,4
8/17/20,The Bucket List,2007,https://boxd.it/20Ye,4
8/17/20,Hachi: A Dog's Tale,2009,https://boxd.it/1q4a,3.5
8/17/20,Déjà Vu,2006,https://boxd.it/20PQ,3
8/17/20,Chocolat,2000,https://boxd.it/2aue,3
8/17/20,The Transporter,2002,https://boxd.it/24Nu,2.5
8/17/20,Journey to the Center of the Earth,2008,https://boxd.it/38EI,3
8/17/20,P.S. I Love You,2007,https://boxd.it/229C,4
8/17/20,Freedom Writers,2007,https://boxd.it/28p2,3
8/17/20,RV,2006,https://boxd.it/1YrW,2.5
8/17/20,Exam,2009,https://boxd.it/1mn8,3
8/17/20,Little Man,2006,https://boxd.it/1ZeE,1.5
8/17/20,E.T. the Extra-Terrestrial,1982,https://boxd.it/2a1G,3.5
8/17/20,Elizabethtown,2005,https://boxd.it/1Ydq,2.5
8/17/20,Peaceful Warrior,2006,https://boxd.it/1PCw,3.5
8/17/20,Little Boy,2015,https://boxd.it/7AcA,4
8/17/20,One Love,2018,https://boxd.it/kPuK,4
8/17/20,The Butterfly's Dream,2013,https://boxd.it/5haQ,4
8/17/20,The Vow,2012,https://boxd.it/2o4Y,3.5
8/17/20,Jack and Jill,2011,https://boxd.it/2pQu,2
8/17/20,Kingdom of Heaven,2005,https://boxd.it/28Gs,4
8/17/20,Sully,2016,https://boxd.it/cD8Q,3.5
8/17/20,Exodus: Gods and Kings,2014,https://boxd.it/4FV0,3.5
8/18/20,Cosmos,2014,https://boxd.it/J34E,4.5
3/11/21,Cold War,2018,https://boxd.it/fEoc,1
3/11/21,Kate & Leopold,2001,https://boxd.it/1Uj0,3.5
3/11/21,Schindler's List,1993,https://boxd.it/2aq2,4.5
3/11/21,Nomadland,2020,https://boxd.it/lnRy,2
3/11/21,I Care a Lot,2020,https://boxd.it/mcHk,0.5
3/11/21,A Few Good Men,1992,https://boxd.it/29nw,4
3/11/21,Eternity and a Day,1998,https://boxd.it/1wSq,4
3/11/21,"Don't Worry, I'm Fine",2006,https://boxd.it/2908,4
3/11/21,Soul,2020,https://boxd.it/ioLA,4.5
3/11/21,Ayla: The Daughter of War,2017,https://boxd.it/gWyw,4
3/11/21,Gone Girl,2014,https://boxd.it/6hQu,2.5
3/11/21,Monsters University,2013,https://boxd.it/bQm,4
3/11/21,Star Wars: The Force Awakens,2015,https://boxd.it/4vru,3
3/11/21,Blood Diamond,2006,https://boxd.it/28Tm,4
3/11/21,Catch Me If You Can,2002,https://boxd.it/29VS,4
3/11/21,The Sixth Sense,1999,https://boxd.it/29Js,3
3/11/21,Home Alone,1990,https://boxd.it/29Fg,4
3/11/21,Night on Earth,1991,https://boxd.it/2ayq,3.5
3/16/21,The Devil All the Time,2020,https://boxd.it/i2tY,4
3/21/21,The Machinist,2004,https://boxd.it/248c,4
3/21/21,Colony,2015,https://boxd.it/gOcW,3.5
3/21/21,Vicky Cristina Barcelona,2008,https://boxd.it/23rW,3
3/21/21,21 Grams,2003,https://boxd.it/2ajK,4
3/21/21,Being John Malkovich,1999,https://boxd.it/2ahu,3
3/21/21,It's Only the End of the World,2016,https://boxd.it/be0K,3
3/21/21,A Short Film About Love,1988,https://boxd.it/1jXC,3.5
3/24/21,Palm Springs,2020,https://boxd.it/lCXQ,3.5
4/12/21,While We're Young,2014,https://boxd.it/7oOs,3.5
4/12/21,Time to Love,1965,https://boxd.it/46cu,2.5
4/24/21,Like Crazy,2011,https://boxd.it/g4s,3.5
4/25/21,Pieces of a Woman,2020,https://boxd.it/nOrQ,3.5
4/26/21,Closer,2004,https://boxd.it/270K,3.5
4/26/21,The Art of Racing in the Rain,2019,https://boxd.it/iYWk,4
5/2/21,On Body and Soul,2017,https://boxd.it/fu7A,3.5
5/2/21,Sound of Metal,2019,https://boxd.it/i7Q4,3.5
5/4/21,Amélie,2001,https://boxd.it/2aUc,5
5/9/21,Lady Bird,2017,https://boxd.it/dGNE,3.5
5/9/21,Minari,2020,https://boxd.it/mL9M,4.5
5/11/21,As Good as It Gets,1997,https://boxd.it/268y,4
5/26/21,Love in the Afternoon,1957,https://boxd.it/1HcK,3
6/3/21,Love in the Afternoon,1972,https://boxd.it/1Svo,3.5
6/30/21,Pain and Glory,2019,https://boxd.it/iOBQ,3
7/13/21,Looper,2012,https://boxd.it/ham,3
7/18/21,Something Useful,2017,https://boxd.it/gMaY,4
7/30/21,Inglourious Basterds,2009,https://boxd.it/1JzG,3.5
8/12/21,Never Look Away,2018,https://boxd.it/eZns,4
8/12/21,The Lovers on the Bridge,1991,https://boxd.it/26li,3
8/17/21,Amores Perros,2000,https://boxd.it/2bfu,4
8/20/21,Noah Land,2019,https://boxd.it/lEsq,3.5
