Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2025-12-14,Mystery,2011,https://boxd.it/c2Anoh,2,,,2025-12-13
2025-12-15,Blind Chance,1987,https://boxd.it/c3zrgX,4,,,2025-12-14
2025-12-15,Blind Chance,1987,https://boxd.it/c3zrBV,4,Yes,,2025-12-14
2025-12-16,Sentimental Value,2025,https://boxd.it/c4m6mj,4,,,2025-12-15
2025-12-19,Atropia,2025,https://boxd.it/c75i1P,3.5,,,2025-12-18
2025-12-22,Decalogue IV,1989,https://boxd.it/captXd,2.5,,,2025-12-21
2025-12-25,Elena,2011,https://boxd.it/cdHghL,3.5,,,2025-12-24
2025-12-26,Ernest & Celestine,2012,https://boxd.it/ceSrFb,3,,,2025-12-25
2025-12-27,The Town,2025,https://boxd.it/cfofwZ,2.5,,,2025-12-26
2025-12-28,The Weeping Meadow,2004,https://boxd.it/ch8aHJ,4,,,2025-12-27
2026-01-11,Persona,1966,https://boxd.it/cz3AVp,3,,,2026-01-10
2026-01-11,"Synecdoche, New York",2008,https://boxd.it/czxRsf,4.5,,,2026-01-10
2026-02-17,Hamnet,2025,https://boxd.it/dagTVH,4,,,2026-01-16
2026-01-18,Die My Love,2025,https://boxd.it/cH7mDL,3,,,2026-01-17
2026-01-18,A Ghost Story,2017,https://boxd.it/cH7nFt,4,,,2026-01-17
2026-01-24,Marty Supreme,2025,https://boxd.it/cNgpuJ,4.5,,,2026-01-23
2026-02-17,The Secret Agent,2025,https://boxd.it/dagT5r,3.5,,,2026-01-27
2026-02-17,Father Mother Sister Brother,2025,https://boxd.it/dagZb1,3,,,2026-01-31
2026-02-14,Wuthering Heights,2026,https://boxd.it/d7qvpF,0.5,,,2026-02-13
2026-02-17,Andrei Rublev,1966,https://boxd.it/dagXoR,3,,,2026-02-16
2026-02-18,Sinners,2025,https://boxd.it/dbPGVD,4,,,2026-02-17
2026-02-22,Museum of Innocence,2026,https://boxd.it/dfcQnf,4,,,2026-02-21
2026-03-11,Punch-Drunk Love,2002,https://boxd.it/dtxYmd,4,,,2026-03-10
2026-03-11,Eyes Wide Shut,1999,https://boxd.it/dty18D,4,,,2026-03-10
2026-03-14,One Battle After Another,2025,https://boxd.it/dvOVqD,4.5,,,2026-03-13
2026-03-16,Little Miss Sunshine,2006,https://boxd.it/dxdQK3,4.5,,,2026-03-15
2026-03-23,The Diving Bell and the Butterfly,2007,https://boxd.it/dDoxBR,4.5,,,2026-03-22
